"Site.Name","Escape.ID","Operator.at.Time.of.Escape","Escape.Water.Type","Escape.Start.Date","Escape.Start.Time","Escaped.Species","Stage","Age","Average.Weight","Initial.Escape.Reason","Final.Number.Escaped","Final.Number.Recovered","Marine.Scotland.Site.ID","Date.Registered","Local.Authority","Producing.in.Last.3.Years","Site.Post.Code","Health.Surveillance","MS.Management.Area","Species","Total.number.escaped","year","month","c2","c3","c4","c5","c6","c7"
"ardyne",2000129,"murray seafoods ltd","s",2006-07-28,NA,"atlantic salmon","grower fish (salmon only)",15,3400,"human error - hum",2981,0,"fs0559",1985-10-16,"argyll and bute","yes","pa23 7uj","medium","19b - kyles of bute","wrasse, atlantic salmon, lumpsucker",2981,1998,9,0.977,0.165,0.599878,0.019268953,0.098810303,0.115363434
"ardyne",2000129,"murray seafoods ltd","s",2006-07-28,NA,"atlantic salmon","grower fish (salmon only)",15,3400,"human error - hum",2981,0,"fs0559",1985-10-16,"argyll and bute","yes","pa23 7uj","medium","19b - kyles of bute","wrasse, atlantic salmon, lumpsucker",2981,1999,9,1.455,0.209,1.273125,0.017812369,0.149243441,0.243066203
"ardyne",2000129,"murray seafoods ltd","s",2006-07-28,NA,"atlantic salmon","grower fish (salmon only)",15,3400,"human error - hum",2981,0,"fs0559",1985-10-16,"argyll and bute","yes","pa23 7uj","medium","19b - kyles of bute","wrasse, atlantic salmon, lumpsucker",2981,1998,7,1.838,0.369,1.251678,0.017434809,0.104375452,0.22388726
"ardyne",2000129,"murray seafoods ltd","s",2006-07-28,NA,"atlantic salmon","grower fish (salmon only)",15,3400,"human error - hum",2981,0,"fs0559",1985-10-16,"argyll and bute","yes","pa23 7uj","medium","19b - kyles of bute","wrasse, atlantic salmon, lumpsucker",2981,2005,1,1.371,0.276,1.030992,0.018463895,0.0878563,0.145764987
"ardyne",2000387,"murray seafoods ltd.","s",1999-09-01,NA,"atlantic salmon","grower fish (salmon only)",15,3172,"human error - hum",6000,0,"fs0559",1985-10-16,"argyll and bute","yes","pa23 7uj","medium","19b - kyles of bute","lumpsucker, wrasse, atlantic salmon",6000,2006,7,1.278,0.08,0.77958,0.01785064,0.116808745,0.172094694
"ardyne",2000387,"murray seafoods ltd.","s",1999-09-01,NA,"atlantic salmon","grower fish (salmon only)",15,3172,"human error - hum",6000,0,"fs0559",1985-10-16,"argyll and bute","yes","pa23 7uj","medium","19b - kyles of bute","lumpsucker, wrasse, atlantic salmon",6000,1998,9,0.977,0.165,0.599878,0.019268953,0.098810303,0.115363434
"ardyne",2000387,"murray seafoods ltd.","s",1999-09-01,NA,"atlantic salmon","grower fish (salmon only)",15,3172,"human error - hum",6000,0,"fs0559",1985-10-16,"argyll and bute","yes","pa23 7uj","medium","19b - kyles of bute","lumpsucker, wrasse, atlantic salmon",6000,1999,9,1.455,0.209,1.273125,0.017812369,0.149243441,0.243066203
"ardyne",2000387,"murray seafoods ltd.","s",1999-09-01,NA,"atlantic salmon","grower fish (salmon only)",15,3172,"human error - hum",6000,0,"fs0559",1985-10-16,"argyll and bute","yes","pa23 7uj","medium","19b - kyles of bute","lumpsucker, wrasse, atlantic salmon",6000,1998,7,1.838,0.369,1.251678,0.017434809,0.104375452,0.22388726
"ardyne",2000387,"murray seafoods ltd.","s",1999-09-01,NA,"atlantic salmon","grower fish (salmon only)",15,3172,"human error - hum",6000,0,"fs0559",1985-10-16,"argyll and bute","yes","pa23 7uj","medium","19b - kyles of bute","lumpsucker, wrasse, atlantic salmon",6000,2005,1,1.371,0.276,1.030992,0.018463895,0.0878563,0.145764987
"aultbea",2000108,"marine harvest (scotland) ltd","s",2003-03-20,"16:00","atlantic salmon","grower fish (salmon only)",13,2100,"hole in net - hol",11476,0,"fs0729",1991-11-01,"highland","no",NA,NA,NA,"atlantic salmon",11476,2003,3,1.756,0.509,1.496112,0.018311197,0.119636907,0.242236871
"badcall bay",2000057,"loch duart ltd","s",2005-10-14,NA,"atlantic salmon","grower fish (salmon only)",16,4000,"hole in net - hol",3000,0,"fs0067",1991-08-26,"highland","yes","iv27 4th","low","9c - badcall, chairn bhain, eddrachillis","atlantic salmon, lumpsucker, wrasse",3000,2002,6,1.13,0.162,0.72998,0.018335907,0.066778674,0.096179477
